-2.5 1 -0 -31.25
-2.4 1 -0 -27.648
-2.3 1 -0 -24.334
-2.2 1 -0 -21.296
-2.1 1 -0 -18.522
-2 1 -0 -16
-1.9 1 -0 -13.718
-1.8 1 -0 -11.664
-1.7 1 -0 -9.826
-1.6 1 -0 -8.192
-1.5 1 -0 -6.75
-1.4 1 -0 -5.488
-1.3 1 -0 -4.394
-1.2 1 -0 -3.456
-1.1 1 -0 -2.662
-1 1 -0 -2
-0.9 1 -0 -1.458
-0.8 1 -0 -1.024
-0.7 1 -0 -0.686
-0.6 1 -0 -0.432
-0.5 1 -0 -0.25
-0.4 1 -0 -0.128
-0.3 1 -0 -0.054
-0.2 1 -0 -0.016
-0.1 1 -0 -0.002
0 1 0 0
0.1 1 0 0.002
0.2 1 0 0.016
0.3 1 0 0.054
0.4 1 0 0.128
0.5 1 0 0.25
0.6 1 0 0.432
0.7 1 0 0.686
0.8 1 0 1.024
0.9 1 0 1.458
1 1 0 2
1.1 1 0 2.662
1.2 1 0 3.456
1.3 1 0 4.394
1.4 1 0 5.488
1.5 1 0 6.75
1.6 1 0 8.192
1.7 1 0 9.826
1.8 1 0 11.664
1.9 1 0 13.718
2 1 0 16
2.1 1 0 18.522
2.2 1 0 21.296
2.3 1 0 24.334
2.4 1 0 27.648
2.5 1 0 31.25
