1 -2.5 -8.75 54.5
1 -2.4 -8.16 50.96
1 -2.3 -7.59 47.54
1 -2.2 -7.04 44.24
1 -2.1 -6.51 41.06
1 -2 -6 38
1 -1.9 -5.51 35.06
1 -1.8 -5.04 32.24
1 -1.7 -4.59 29.54
1 -1.6 -4.16 26.96
1 -1.5 -3.75 24.5
1 -1.4 -3.36 22.16
1 -1.3 -2.99 19.94
1 -1.2 -2.64 17.84
1 -1.1 -2.31 15.86
1 -1 -2 14
1 -0.9 -1.71 12.26
1 -0.8 -1.44 10.64
1 -0.7 -1.19 9.14
1 -0.6 -0.96 7.76
1 -0.5 -0.75 6.5
1 -0.4 -0.56 5.36
1 -0.3 -0.39 4.34
1 -0.2 -0.24 3.44
1 -0.1 -0.11 2.66
1 0 0 2
1 0.1 0.09 1.46
1 0.2 0.16 1.04
1 0.3 0.21 0.74
1 0.4 0.24 0.56
1 0.5 0.25 0.5
1 0.6 0.24 0.56
1 0.7 0.21 0.74
1 0.8 0.16 1.04
1 0.9 0.09 1.46
1 1 0 2
1 1.1 -0.11 2.66
1 1.2 -0.24 3.44
1 1.3 -0.39 4.34
1 1.4 -0.56 5.36
1 1.5 -0.75 6.5
1 1.6 -0.96 7.76
1 1.7 -1.19 9.14
1 1.8 -1.44 10.64
1 1.9 -1.71 12.26
1 2 -2 14
1 2.1 -2.31 15.86
1 2.2 -2.64 17.84
1 2.3 -2.99 19.94
1 2.4 -3.36 22.16
1 2.5 -3.75 24.5
