-2.5 1 0 -31.25
-2.4 1 -0.79688 -27.648
-2.3 1 -1.3162 -24.334
-2.2 1 -1.5923 -21.296
-2.1 1 -1.6583 -18.522
-2 1 -1.54561 -16
-1.9 1 -1.28345 -13.718
-1.8 1 -0.898613 -11.664
-1.7 1 -0.415253 -9.826
-1.6 1 0.145217 -8.192
-1.5 1 0.764106 -6.75
-1.4 1 1.42536 -5.488
-1.3 1 2.11541 -4.394
-1.2 1 2.82301 -3.456
-1.1 1 3.53899 -2.662
-1 1 4.25602 -2
-0.9 1 4.96839 -1.458
-0.8 1 5.67175 -1.024
-0.7 1 6.36287 -0.686
-0.6 1 7.0394 -0.432
-0.5 1 7.6997 -0.25
-0.4 1 8.34254 -0.128
-0.3 1 8.967 -0.054
-0.2 1 9.57224 -0.016
-0.1 1 10.1573 -0.002
0 1 10.7212 0
0.1 1 11.2622 0.002
0.2 1 11.7785 0.016
0.3 1 12.2674 0.054
0.4 1 12.7256 0.128
0.5 1 13.1492 0.25
0.6 1 13.5332 0.432
0.7 1 13.8718 0.686
0.8 1 14.1583 1.024
0.9 1 14.3849 1.458
1 1 14.543 2
1.1 1 14.6227 2.662
1.2 1 14.6135 3.456
1.3 1 14.5036 4.394
1.4 1 14.2805 5.488
1.5 1 13.9306 6.75
1.6 1 13.4396 8.192
1.7 1 12.7925 9.826
1.8 1 11.9735 11.664
1.9 1 10.9662 13.718
2 1 9.75386 16
2.1 1 8.31911 18.522
2.2 1 6.64434 21.296
2.3 1 4.71165 24.334
2.4 1 2.50294 27.648
2.5 1 0 31.25
