0 -0.0886268
0.25 -0.260384
0.5 -0.41697
0.75 -0.552024
1 -0.663088
1.25 -0.750929
1.5 -0.818299
1.75 -0.86877
2 -0.905923
2.25 -0.932921
2.5 -0.952358
2.75 -0.966257
3 -0.976148
3.25 -0.983163
3.5 -0.988125
3.75 -0.991628
4 -0.994097
4.25 -0.995834
4.5 -0.997053
4.75 -0.997905
5 -0.998495
5.25 -0.998898
5.5 -0.999163
5.75 -0.999323
6 -0.999398
6.25 -0.999398
6.5 -0.999323
6.75 -0.999163
7 -0.998898
7.25 -0.998495
7.5 -0.997905
7.75 -0.997053
8 -0.995834
8.25 -0.994097
8.5 -0.991628
8.75 -0.988125
9 -0.983163
9.25 -0.976148
9.5 -0.966257
9.75 -0.952358
10 -0.932921
10.25 -0.905923
10.5 -0.86877
10.75 -0.818299
11 -0.750929
11.25 -0.663088
11.5 -0.552024
11.75 -0.41697
12 -0.260384
12.25 -0.0886268
12.5 0.0886268
12.75 0.260384
13 0.41697
13.25 0.552024
13.5 0.663088
13.75 0.750929
14 0.818299
14.25 0.86877
14.5 0.905923
14.75 0.932921
15 0.952358
15.25 0.966257
15.5 0.976148
15.75 0.983163
16 0.988125
16.25 0.991628
16.5 0.994097
16.75 0.995834
17 0.997053
17.25 0.997905
17.5 0.998495
17.75 0.998898
18 0.999163
18.25 0.999323
18.5 0.999398
18.75 0.999398
19 0.999323
19.25 0.999163
19.5 0.998898
19.75 0.998495
20 0.997905
20.25 0.997053
20.5 0.995834
20.75 0.994097
21 0.991628
21.25 0.988125
21.5 0.983163
21.75 0.976148
22 0.966257
22.25 0.952358
22.5 0.932921
22.75 0.905923
23 0.86877
23.25 0.818299
23.5 0.750929
23.75 0.663088
24 0.552024
24.25 0.41697
24.5 0.260384
24.75 0.0886268
